metric,value
Total Records,410865
Date Range Start,2023-01-07 00:00:00
Date Range End,2024-12-31 00:00:00
Number of Columns,30
Avg Daily Ridership,1
Max Ridership,377
Min Ridership,0
Avg Temperature (°F),54.7
Avg Precipitation (in),0.24
